,PC_1,PC_2,PC_3,class,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
ELP,-0.14549392696368335,1.011421091984133,1.0127064997616728,1,Ellerium,XEVAN,PoW/PoS,419275.38,60000000
ONT,-0.23959557967195658,2.03659573862828,-1.5960957804252258,1,Ontology,VBFT,PoS,650848625.0,1000000000
CLO,-0.30834768796101364,-1.6766426768288287,-0.3719795111999523,0,Callisto Network,Ethash,PoW,247612453.0,6500000000
ADK,-0.36113598595373514,-1.80665502325769,-0.28048171787708936,0,Aidos Kuneen,IMesh,PoW,25000000.0,25000000
BSX,-0.18245053873815575,1.0007052907859268,1.25621058303409,1,Bitspace,NIST5,PoW/PoS,13787854.6277781,50000000
BTL,-0.3528315778253881,-1.6824731765276755,-0.35284313883723156,0,Bitrolium,Equihash,PoW,71355477.0,70000000
ALPS,-0.361513409771151,-1.8278774559836934,-0.2849097367267101,0,Alpenschillling,Lyra2Z,PoW,27340501.6514783,300000000
BITG,-0.25712383083343415,2.038167099159676,-1.5958104964398578,1,Bitcoin Green,Green Protocol,PoS,9803691.3618195,21000000
DEV,-0.2663282208991626,2.173816627736179,-1.7496866498295778,1,Deviant Coin,PoS,PoS,21876586.8530324,88000000
SEM,2.149395001144555,0.7167775767473228,-0.2954129880261828,1,Semux,Semux BFT consensus,DPoS,1231147.0,100000000
CARE,-0.21050045706586334,1.3611190589219333,0.6232516190458044,1,Carebit,Quark,PoW/PoS,139739596.506702,200000000
NZL,-0.26646837531812434,2.1738271752261134,-1.7496845387925681,1,Zealium,PoS,PoS,11075254.0929996,80000000
PROTON,-0.2701033479034869,1.1404442232396235,-0.8847844898296156,1,Proton,X16R,PoS,4403800.0,45000000
JUMP,-0.29986057521644244,-0.7396250910524876,0.3304026373189021,0,Jumpcoin,NIST5,PoW,21069346.252259802,21000000
INFX,-0.36395694634501713,-1.8276778765694075,-0.284892198506583,0,Infinex,Lyra2RE,PoW,5097689.71077377,26280000
XBI,-0.14724869627160567,0.8503991798664802,0.5889209023900187,1,Bitcoin Incognito,XEVAN,PoS/PoW,10904963.0923455,21000000
KEC,-0.36147701809253846,-1.806624898925044,-0.2804731835632026,0,KEYCO,Tribus,PoW,795447.0,18000000
GIN,-0.36379211402228073,-1.827702530596533,-0.28489539171398437,0,GINcoin,Lyra2Z,PoW,6986399.70430446,10500000
LOKI,0.12499023273346731,-1.872078637655447,-0.29358906598672385,0,Loki,CryptoNight Heavy,PoW,19153632.0,150000000
MGD,-0.3583862992702317,-1.8069011316898604,-0.2805290905401188,0,MassGrid,Jump Consistent Hash,PoW,135862416.039898,168000000
VIG,-0.14395097560334386,1.2039055329217188,1.572591688143743,1,TheVig,SHA-256D,PoW/PoS,33238183.7225834,100000000
DKD,-0.12847898974528815,1.7751585240512024,-0.42091386119304286,1,Dekado,X15,PoS,30284196.369129,90000000
POSQ,-0.2540147786571963,1.84928507043496,-0.9680225083304206,1,Poseidon Quark,Quark,PoS,2716264.95302831,650000000 
MUSE,0.420776845260129,1.5834739014648365,-1.060861534388754,1,Muse,DPoS,PoS,18194936.0,18081806 
XMN,-0.34171071126058306,-1.0882314024735809,-0.2193119949983504,0,Motion,X16R,PoW,8125865.02097646,22075700
